m,country,years,age,survivors
ZAR,"Congo, Dem. Rep.",2005-2010,55.0,55765.26
ZAR,"Congo, Dem. Rep.",2005-2010,60.0,51023.07
ZAR,"Congo, Dem. Rep.",2005-2010,65.0,44709.42
ZAR,"Congo, Dem. Rep.",2005-2010,70.0,36432.99
ZAR,"Congo, Dem. Rep.",2005-2010,75.0,26360.74
ZAR,"Congo, Dem. Rep.",2005-2010,80.0,15962.5
ZAR,"Congo, Dem. Rep.",2005-2010,85.0,7289.94
LBR,Liberia,2005-2010,0.0,100000.0
LBR,Liberia,2005-2010,1.0,93329.66
LBR,Liberia,2005-2010,5.0,90603.0
LBR,Liberia,2005-2010,10.0,88848.81
LBR,Liberia,2005-2010,15.0,87895.14
LBR,Liberia,2005-2010,20.0,86453.45
LBR,Liberia,2005-2010,25.0,84638.3
LBR,Liberia,2005-2010,30.0,82651.62
LBR,Liberia,2005-2010,35.0,80607.08
LBR,Liberia,2005-2010,40.0,78385.86
LBR,Liberia,2005-2010,45.0,75951.41
LBR,Liberia,2005-2010,50.0,73219.01
LBR,Liberia,2005-2010,55.0,69627.05
LBR,Liberia,2005-2010,60.0,64856.0
LBR,Liberia,2005-2010,65.0,57723.59
LBR,Liberia,2005-2010,70.0,47729.0
LBR,Liberia,2005-2010,75.0,34360.91
LBR,Liberia,2005-2010,80.0,19634.94
LBR,Liberia,2005-2010,85.0,7633.67
GMB,"Gambia, The",2005-2010,0.0,100000.0
GMB,"Gambia, The",2005-2010,1.0,94160.06
GMB,"Gambia, The",2005-2010,5.0,89693.38
GMB,"Gambia, The",2005-2010,10.0,88045.63
GMB,"Gambia, The",2005-2010,15.0,87127.77
GMB,"Gambia, The",2005-2010,20.0,85756.21
GMB,"Gambia, The",2005-2010,25.0,84025.19
GMB,"Gambia, The",2005-2010,30.0,82125.5
GMB,"Gambia, The",2005-2010,35.0,80166.43
GMB,"Gambia, The",2005-2010,40.0,78030.5
GMB,"Gambia, The",2005-2010,45.0,75676.17
GMB,"Gambia, The",2005-2010,50.0,73021.08
GMB,"Gambia, The",2005-2010,55.0,69519.16
GMB,"Gambia, The",2005-2010,60.0,64856.83
GMB,"Gambia, The",2005-2010,65.0,57871.84
GMB,"Gambia, The",2005-2010,70.0,48033.33
GMB,"Gambia, The",2005-2010,75.0,34777.53
GMB,"Gambia, The",2005-2010,80.0,20033.96
GMB,"Gambia, The",2005-2010,85.0,7873.02
AGO,Angola,2005-2010,0.0,100000.0
AGO,Angola,2005-2010,1.0,90373.0
AGO,Angola,2005-2010,5.0,83884.95
AGO,Angola,2005-2010,10.0,80839.84
AGO,Angola,2005-2010,15.0,79250.06
AGO,Angola,2005-2010,20.0,77735.93
AGO,Angola,2005-2010,25.0,75709.44
AGO,Angola,2005-2010,30.0,73062.29
AGO,Angola,2005-2010,35.0,69820.11
AGO,Angola,2005-2010,40.0,66291.85
AGO,Angola,2005-2010,45.0,62864.6
AGO,Angola,2005-2010,50.0,59540.42
AGO,Angola,2005-2010,55.0,55927.1
AGO,Angola,2005-2010,60.0,51452.71
AGO,Angola,2005-2010,65.0,45460.48
AGO,Angola,2005-2010,70.0,37455.22
AGO,Angola,2005-2010,75.0,27562.21
AGO,Angola,2005-2010,80.0,16986.24
AGO,Angola,2005-2010,85.0,8045.03
GNQ,Equatorial Guinea,2005-2010,0.0,100000.0
GNQ,Equatorial Guinea,2005-2010,1.0,90570.53
GNQ,Equatorial Guinea,2005-2010,5.0,84281.08
GNQ,Equatorial Guinea,2005-2010,10.0,81674.31
GNQ,Equatorial Guinea,2005-2010,15.0,80192.34
GNQ,Equatorial Guinea,2005-2010,20.0,78573.87
GNQ,Equatorial Guinea,2005-2010,25.0,76473.32
GNQ,Equatorial Guinea,2005-2010,30.0,73537.65
GNQ,Equatorial Guinea,2005-2010,35.0,70117.06
GNQ,Equatorial Guinea,2005-2010,40.0,66482.18
