m,country,years,age,survivors
GAB,Gabon,2005-2010,75.0,43188.43
GAB,Gabon,2005-2010,80.0,29985.9
GAB,Gabon,2005-2010,85.0,16542.77
PAK,Pakistan,2005-2010,0.0,100000.0
PAK,Pakistan,2005-2010,1.0,93210.02
PAK,Pakistan,2005-2010,5.0,92410.44
PAK,Pakistan,2005-2010,10.0,91761.24
PAK,Pakistan,2005-2010,15.0,91360.2
PAK,Pakistan,2005-2010,20.0,90861.76
PAK,Pakistan,2005-2010,25.0,90157.99
PAK,Pakistan,2005-2010,30.0,89526.83
PAK,Pakistan,2005-2010,35.0,88738.31
PAK,Pakistan,2005-2010,40.0,87696.15
PAK,Pakistan,2005-2010,45.0,86248.23
PAK,Pakistan,2005-2010,50.0,84158.7
PAK,Pakistan,2005-2010,55.0,81071.71
PAK,Pakistan,2005-2010,60.0,76478.61
PAK,Pakistan,2005-2010,65.0,69720.21
PAK,Pakistan,2005-2010,70.0,60103.27
PAK,Pakistan,2005-2010,75.0,47277.36
PAK,Pakistan,2005-2010,80.0,31985.93
PAK,Pakistan,2005-2010,85.0,16858.91
FSM,"Micronesia, Fed. Sts.",2005-2010,0.0,100000.0
FSM,"Micronesia, Fed. Sts.",2005-2010,1.0,96529.98
FSM,"Micronesia, Fed. Sts.",2005-2010,5.0,95596.59
FSM,"Micronesia, Fed. Sts.",2005-2010,10.0,95217.15
FSM,"Micronesia, Fed. Sts.",2005-2010,15.0,94913.28
FSM,"Micronesia, Fed. Sts.",2005-2010,20.0,94424.25
FSM,"Micronesia, Fed. Sts.",2005-2010,25.0,93747.74
FSM,"Micronesia, Fed. Sts.",2005-2010,30.0,92951.53
FSM,"Micronesia, Fed. Sts.",2005-2010,35.0,92008.22
FSM,"Micronesia, Fed. Sts.",2005-2010,40.0,90828.28
FSM,"Micronesia, Fed. Sts.",2005-2010,45.0,89275.01
FSM,"Micronesia, Fed. Sts.",2005-2010,50.0,87096.0
FSM,"Micronesia, Fed. Sts.",2005-2010,55.0,83994.22
FSM,"Micronesia, Fed. Sts.",2005-2010,60.0,79578.69
FSM,"Micronesia, Fed. Sts.",2005-2010,65.0,73075.12
FSM,"Micronesia, Fed. Sts.",2005-2010,70.0,63505.56
FSM,"Micronesia, Fed. Sts.",2005-2010,75.0,50060.35
FSM,"Micronesia, Fed. Sts.",2005-2010,80.0,33510.68
FSM,"Micronesia, Fed. Sts.",2005-2010,85.0,17042.07
IND,India,2005-2010,0.0,100000.0
IND,India,2005-2010,1.0,94880.04
IND,India,2005-2010,5.0,93289.27
IND,India,2005-2010,10.0,92651.23
IND,India,2005-2010,15.0,92180.77
IND,India,2005-2010,20.0,91407.55
IND,India,2005-2010,25.0,90417.28
IND,India,2005-2010,30.0,89445.04
IND,India,2005-2010,35.0,88416.3
IND,India,2005-2010,40.0,87223.38
IND,India,2005-2010,45.0,85801.75
IND,India,2005-2010,50.0,83794.64
IND,India,2005-2010,55.0,80946.31
IND,India,2005-2010,60.0,76419.77
IND,India,2005-2010,65.0,69259.76
IND,India,2005-2010,70.0,59106.34
IND,India,2005-2010,75.0,45591.31
IND,India,2005-2010,80.0,31002.75
IND,India,2005-2010,85.0,17447.73
KIR,Kiribati,2005-2010,0.0,100000.0
KIR,Kiribati,2005-2010,1.0,96832.0
KIR,Kiribati,2005-2010,5.0,96038.37
KIR,Kiribati,2005-2010,10.0,95702.46
KIR,Kiribati,2005-2010,15.0,95432.79
KIR,Kiribati,2005-2010,20.0,94996.22
KIR,Kiribati,2005-2010,25.0,94387.3
KIR,Kiribati,2005-2010,30.0,93665.68
KIR,Kiribati,2005-2010,35.0,92804.28
KIR,Kiribati,2005-2010,40.0,91710.68
KIR,Kiribati,2005-2010,45.0,90247.1
KIR,Kiribati,2005-2010,50.0,88158.65
KIR,Kiribati,2005-2010,55.0,85157.25
KIR,Kiribati,2005-2010,60.0,80848.27
KIR,Kiribati,2005-2010,65.0,74459.6
KIR,Kiribati,2005-2010,70.0,64957.82
KIR,Kiribati,2005-2010,75.0,51475.21
KIR,Kiribati,2005-2010,80.0,34693.21
KIR,Kiribati,2005-2010,85.0,17780.61
MDA,Moldova,2005-2010,0.0,100000.0
MDA,Moldova,2005-2010,1.0,98636.15
MDA,Moldova,2005-2010,5.0,98315.54
MDA,Moldova,2005-2010,10.0,98194.83
MDA,Moldova,2005-2010,15.0,98088.78
MDA,Moldova,2005-2010,20.0,97927.82
MDA,Moldova,2005-2010,25.0,97715.53
MDA,Moldova,2005-2010,30.0,97396.32
MDA,Moldova,2005-2010,35.0,96860.05
MDA,Moldova,2005-2010,40.0,95984.87
MDA,Moldova,2005-2010,45.0,94632.0
MDA,Moldova,2005-2010,50.0,92422.42
MDA,Moldova,2005-2010,55.0,88923.69
MDA,Moldova,2005-2010,60.0,83478.13
MDA,Moldova,2005-2010,65.0,75189.18
MDA,Moldova,2005-2010,70.0,64516.28
MDA,Moldova,2005-2010,75.0,50606.18
MDA,Moldova,2005-2010,80.0,34430.3
MDA,Moldova,2005-2010,85.0,18611.96
PHL,Philippines,2005-2010,0.0,100000.0
PHL,Philippines,2005-2010,1.0,98087.08
PHL,Philippines,2005-2010,5.0,97523.9
PHL,Philippines,2005-2010,10.0,97249.54
PHL,Philippines,2005-2010,15.0,96988.12
PHL,Philippines,2005-2010,20.0,96664.14
PHL,Philippines,2005-2010,25.0,96201.9
PHL,Philippines,2005-2010,30.0,95634.99
PHL,Philippines,2005-2010,35.0,94813.92
PHL,Philippines,2005-2010,40.0,93683.96
PHL,Philippines,2005-2010,45.0,92080.12
PHL,Philippines,2005-2010,50.0,89802.46
PHL,Philippines,2005-2010,55.0,86476.66
PHL,Philippines,2005-2010,60.0,82012.37
PHL,Philippines,2005-2010,65.0,75353.58
PHL,Philippines,2005-2010,70.0,65778.69
PHL,Philippines,2005-2010,75.0,53244.32
PHL,Philippines,2005-2010,80.0,37233.4
PHL,Philippines,2005-2010,85.0,18977.57
STP,São Tomé and Principe,2005-2010,0.0,100000.0
STP,São Tomé and Principe,2005-2010,1.0,95875.61
STP,São Tomé and Principe,2005-2010,5.0,93908.62
STP,São Tomé and Principe,2005-2010,10.0,93061.75
STP,São Tomé and Principe,2005-2010,15.0,92503.54
STP,São Tomé and Principe,2005-2010,20.0,91759.32
STP,São Tomé and Principe,2005-2010,25.0,90795.22
STP,São Tomé and Principe,2005-2010,30.0,89675.17
STP,São Tomé and Principe,2005-2010,35.0,88447.84
STP,São Tomé and Principe,2005-2010,40.0,87051.47
STP,São Tomé and Principe,2005-2010,45.0,85242.39
STP,São Tomé and Principe,2005-2010,50.0,83103.34
STP,São Tomé and Principe,2005-2010,55.0,80127.12
STP,São Tomé and Principe,2005-2010,60.0,76267.51
STP,São Tomé and Principe,2005-2010,65.0,70559.86
STP,São Tomé and Principe,2005-2010,70.0,62094.55
STP,São Tomé and Principe,2005-2010,75.0,50145.09
STP,São Tomé and Principe,2005-2010,80.0,35154.28
STP,São Tomé and Principe,2005-2010,85.0,19428.11
MAR,Morocco,2005-2010,0.0,100000.0
MAR,Morocco,2005-2010,1.0,97116.7
MAR,Morocco,2005-2010,5.0,96450.65
MAR,Morocco,2005-2010,10.0,96177.73
MAR,Morocco,2005-2010,15.0,95958.98
MAR,Morocco,2005-2010,20.0,95606.06
MAR,Morocco,2005-2010,25.0,95110.9
MAR,Morocco,2005-2010,30.0,94516.0
MAR,Morocco,2005-2010,35.0,93796.48
MAR,Morocco,2005-2010,40.0,92870.16
MAR,Morocco,2005-2010,45.0,91598.9
MAR,Morocco,2005-2010,50.0,89748.07
MAR,Morocco,2005-2010,55.0,87041.31
MAR,Morocco,2005-2010,60.0,83104.61
MAR,Morocco,2005-2010,65.0,77169.53
MAR,Morocco,2005-2010,70.0,68099.94
MAR,Morocco,2005-2010,75.0,54812.95
MAR,Morocco,2005-2010,80.0,37657.32
MAR,Morocco,2005-2010,85.0,19670.69
IDN,Indonesia,2005-2010,0.0,100000.0
IDN,Indonesia,2005-2010,1.0,97416.6
IDN,Indonesia,2005-2010,5.0,96845.58
IDN,Indonesia,2005-2010,10.0,96586.51
IDN,Indonesia,2005-2010,15.0,96377.38
IDN,Indonesia,2005-2010,20.0,96033.26
IDN,Indonesia,2005-2010,25.0,95548.06
IDN,Indonesia,2005-2010,30.0,94964.67
IDN,Indonesia,2005-2010,35.0,94257.91
IDN,Indonesia,2005-2010,40.0,93338.65
IDN,Indonesia,2005-2010,45.0,92069.66
IDN,Indonesia,2005-2010,50.0,90194.29
IDN,Indonesia,2005-2010,55.0,87449.53
IDN,Indonesia,2005-2010,60.0,83431.75
IDN,Indonesia,2005-2010,65.0,77391.69
IDN,Indonesia,2005-2010,70.0,68171.8
IDN,Indonesia,2005-2010,75.0,54772.4
IDN,Indonesia,2005-2010,80.0,37608.81
IDN,Indonesia,2005-2010,85.0,19698.7
BGD,Bangladesh,2005-2010,0.0,100000.0
BGD,Bangladesh,2005-2010,1.0,95879.59
BGD,Bangladesh,2005-2010,5.0,94454.25
BGD,Bangladesh,2005-2010,10.0,93864.81
BGD,Bangladesh,2005-2010,15.0,93515.81
BGD,Bangladesh,2005-2010,20.0,93006.09
BGD,Bangladesh,2005-2010,25.0,92433.96
BGD,Bangladesh,2005-2010,30.0,91764.81
BGD,Bangladesh,2005-2010,35.0,91021.7
BGD,Bangladesh,2005-2010,40.0,90111.29
BGD,Bangladesh,2005-2010,45.0,88789.98
BGD,Bangladesh,2005-2010,50.0,86959.3
BGD,Bangladesh,2005-2010,55.0,84261.79
BGD,Bangladesh,2005-2010,60.0,80099.67
BGD,Bangladesh,2005-2010,65.0,72883.67
BGD,Bangladesh,2005-2010,70.0,63786.71
BGD,Bangladesh,2005-2010,75.0,49495.84
BGD,Bangladesh,2005-2010,80.0,35567.9
BGD,Bangladesh,2005-2010,85.0,19883.75
KGZ,Kyrgyz Republic,2005-2010,0.0,100000.0
KGZ,Kyrgyz Republic,2005-2010,1.0,96760.92
KGZ,Kyrgyz Republic,2005-2010,5.0,96001.78
KGZ,Kyrgyz Republic,2005-2010,10.0,95855.97
KGZ,Kyrgyz Republic,2005-2010,15.0,95724.11
KGZ,Kyrgyz Republic,2005-2010,20.0,95524.42
KGZ,Kyrgyz Republic,2005-2010,25.0,95147.11
KGZ,Kyrgyz Republic,2005-2010,30.0,94661.1
KGZ,Kyrgyz Republic,2005-2010,35.0,93950.26
KGZ,Kyrgyz Republic,2005-2010,40.0,92969.01
KGZ,Kyrgyz Republic,2005-2010,45.0,91669.36
KGZ,Kyrgyz Republic,2005-2010,50.0,89749.37
KGZ,Kyrgyz Republic,2005-2010,55.0,86885.07
KGZ,Kyrgyz Republic,2005-2010,60.0,82345.5
KGZ,Kyrgyz Republic,2005-2010,65.0,75956.33
KGZ,Kyrgyz Republic,2005-2010,70.0,66175.37
KGZ,Kyrgyz Republic,2005-2010,75.0,53381.41
KGZ,Kyrgyz Republic,2005-2010,80.0,36903.53
KGZ,Kyrgyz Republic,2005-2010,85.0,20060.91
EGY,"Egypt, Arab Rep.",2005-2010,0.0,100000.0
EGY,"Egypt, Arab Rep.",2005-2010,1.0,97796.89
EGY,"Egypt, Arab Rep.",2005-2010,5.0,97170.49
EGY,"Egypt, Arab Rep.",2005-2010,10.0,96938.37
EGY,"Egypt, Arab Rep.",2005-2010,15.0,96759.46
EGY,"Egypt, Arab Rep.",2005-2010,20.0,96542.46
EGY,"Egypt, Arab Rep.",2005-2010,25.0,96222.02
EGY,"Egypt, Arab Rep.",2005-2010,30.0,95790.23
EGY,"Egypt, Arab Rep.",2005-2010,35.0,95194.45
EGY,"Egypt, Arab Rep.",2005-2010,40.0,94501.21
EGY,"Egypt, Arab Rep.",2005-2010,45.0,93572.39
EGY,"Egypt, Arab Rep.",2005-2010,50.0,91702.04
EGY,"Egypt, Arab Rep.",2005-2010,55.0,88517.11
EGY,"Egypt, Arab Rep.",2005-2010,60.0,84223.84
EGY,"Egypt, Arab Rep.",2005-2010,65.0,77776.92
EGY,"Egypt, Arab Rep.",2005-2010,70.0,68438.31
EGY,"Egypt, Arab Rep.",2005-2010,75.0,54794.59
EGY,"Egypt, Arab Rep.",2005-2010,80.0,37386.56
EGY,"Egypt, Arab Rep.",2005-2010,85.0,20270.86
DZA,Algeria,2005-2010,0.0,100000.0
DZA,Algeria,2005-2010,1.0,97286.92
DZA,Algeria,2005-2010,5.0,96682.38
DZA,Algeria,2005-2010,10.0,96430.66
DZA,Algeria,2005-2010,15.0,96228.34
DZA,Algeria,2005-2010,20.0,95901.22
DZA,Algeria,2005-2010,25.0,95441.45
DZA,Algeria,2005-2010,30.0,94886.0
DZA,Algeria,2005-2010,35.0,94210.29
DZA,Algeria,2005-2010,40.0,93333.99
DZA,Algeria,2005-2010,45.0,92119.89
DZA,Algeria,2005-2010,50.0,90333.9
DZA,Algeria,2005-2010,55.0,87707.32
DZA,Algeria,2005-2010,60.0,83865.65
DZA,Algeria,2005-2010,65.0,78049.97
DZA,Algeria,2005-2010,70.0,69092.6
DZA,Algeria,2005-2010,75.0,55868.79
DZA,Algeria,2005-2010,80.0,38632.03
DZA,Algeria,2005-2010,85.0,20351.18
VUT,Vanuatu,2005-2010,0.0,100000.0
VUT,Vanuatu,2005-2010,1.0,97546.55
VUT,Vanuatu,2005-2010,5.0,97016.75
VUT,Vanuatu,2005-2010,10.0,96775.15
VUT,Vanuatu,2005-2010,15.0,96579.35
VUT,Vanuatu,2005-2010,20.0,96259.32
VUT,Vanuatu,2005-2010,25.0,95809.81
VUT,Vanuatu,2005-2010,30.0,95264.46
VUT,Vanuatu,2005-2010,35.0,94597.67
VUT,Vanuatu,2005-2010,40.0,93724.16
VUT,Vanuatu,2005-2010,45.0,92508.15
VUT,Vanuatu,2005-2010,50.0,90695.81
VUT,Vanuatu,2005-2010,55.0,88030.11
VUT,Vanuatu,2005-2010,60.0,84109.26
VUT,Vanuatu,2005-2010,65.0,78192.68
VUT,Vanuatu,2005-2010,70.0,69099.26
VUT,Vanuatu,2005-2010,75.0,55789.01
VUT,Vanuatu,2005-2010,80.0,38582.38
VUT,Vanuatu,2005-2010,85.0,20439.77
TKM,Turkmenistan,2005-2010,0.0,100000.0
TKM,Turkmenistan,2005-2010,1.0,95591.0
TKM,Turkmenistan,2005-2010,5.0,94355.2
TKM,Turkmenistan,2005-2010,10.0,93859.69
TKM,Turkmenistan,2005-2010,15.0,93631.39
TKM,Turkmenistan,2005-2010,20.0,93295.54
TKM,Turkmenistan,2005-2010,25.0,92733.69
TKM,Turkmenistan,2005-2010,30.0,92010.21
TKM,Turkmenistan,2005-2010,35.0,91112.22
TKM,Turkmenistan,2005-2010,40.0,89971.46
TKM,Turkmenistan,2005-2010,45.0,88407.98
TKM,Turkmenistan,2005-2010,50.0,86179.23
TKM,Turkmenistan,2005-2010,55.0,82988.56
TKM,Turkmenistan,2005-2010,60.0,78418.31
TKM,Turkmenistan,2005-2010,65.0,72017.56
TKM,Turkmenistan,2005-2010,70.0,63098.39
TKM,Turkmenistan,2005-2010,75.0,50837.78
TKM,Turkmenistan,2005-2010,80.0,35751.3
TKM,Turkmenistan,2005-2010,85.0,20513.37
BOL,Bolivia,2005-2010,0.0,100000.0
BOL,Bolivia,2005-2010,1.0,95900.0
BOL,Bolivia,2005-2010,5.0,94422.0
BOL,Bolivia,2005-2010,10.0,93259.0
BOL,Bolivia,2005-2010,15.0,92586.0
BOL,Bolivia,2005-2010,20.0,91813.0
BOL,Bolivia,2005-2010,25.0,90983.0
BOL,Bolivia,2005-2010,30.0,90102.0
BOL,Bolivia,2005-2010,35.0,89008.0
BOL,Bolivia,2005-2010,40.0,87407.0
BOL,Bolivia,2005-2010,45.0,85406.0
BOL,Bolivia,2005-2010,50.0,82673.0
BOL,Bolivia,2005-2010,55.0,79199.0
BOL,Bolivia,2005-2010,60.0,75199.0
BOL,Bolivia,2005-2010,65.0,70415.0
BOL,Bolivia,2005-2010,70.0,63491.0
BOL,Bolivia,2005-2010,75.0,52387.0
BOL,Bolivia,2005-2010,80.0,36768.0
BOL,Bolivia,2005-2010,85.0,20616.91
FJI,Fiji,2005-2010,0.0,100000.0
FJI,Fiji,2005-2010,1.0,98363.05
FJI,Fiji,2005-2010,5.0,97917.31
FJI,Fiji,2005-2010,10.0,97685.85
FJI,Fiji,2005-2010,15.0,97499.07
FJI,Fiji,2005-2010,20.0,97169.95
FJI,Fiji,2005-2010,25.0,96723.59
FJI,Fiji,2005-2010,30.0,96177.94
FJI,Fiji,2005-2010,35.0,95466.48
FJI,Fiji,2005-2010,40.0,94450.93
FJI,Fiji,2005-2010,45.0,92914.17
FJI,Fiji,2005-2010,50.0,90594.59
FJI,Fiji,2005-2010,55.0,87154.98
FJI,Fiji,2005-2010,60.0,82265.34
FJI,Fiji,2005-2010,65.0,75281.85
FJI,Fiji,2005-2010,70.0,65603.86
FJI,Fiji,2005-2010,75.0,52654.0
FJI,Fiji,2005-2010,80.0,37061.43
FJI,Fiji,2005-2010,85.0,20940.97
BTN,Bhutan,2005-2010,0.0,100000.0
BTN,Bhutan,2005-2010,1.0,96166.75
BTN,Bhutan,2005-2010,5.0,94021.12
BTN,Bhutan,2005-2010,10.0,93243.97
BTN,Bhutan,2005-2010,15.0,92640.31
BTN,Bhutan,2005-2010,20.0,91902.94
BTN,Bhutan,2005-2010,25.0,90934.6
BTN,Bhutan,2005-2010,30.0,89691.99
BTN,Bhutan,2005-2010,35.0,88115.18
BTN,Bhutan,2005-2010,40.0,86120.57
BTN,Bhutan,2005-2010,45.0,83576.92
BTN,Bhutan,2005-2010,50.0,80290.15
BTN,Bhutan,2005-2010,55.0,76005.97
BTN,Bhutan,2005-2010,60.0,70431.89
BTN,Bhutan,2005-2010,65.0,63290.61
BTN,Bhutan,2005-2010,70.0,54420.2
BTN,Bhutan,2005-2010,75.0,43915.76
BTN,Bhutan,2005-2010,80.0,32358.65
BTN,Bhutan,2005-2010,85.0,21007.65
KAZ,Kazakhstan,2005-2010,0.0,100000.0
KAZ,Kazakhstan,2005-2010,1.0,97624.69
KAZ,Kazakhstan,2005-2010,5.0,97180.39
KAZ,Kazakhstan,2005-2010,10.0,97006.59
KAZ,Kazakhstan,2005-2010,15.0,96842.79
KAZ,Kazakhstan,2005-2010,20.0,96512.1
KAZ,Kazakhstan,2005-2010,25.0,96007.61
KAZ,Kazakhstan,2005-2010,30.0,95312.03
KAZ,Kazakhstan,2005-2010,35.0,94344.56
KAZ,Kazakhstan,2005-2010,40.0,93147.11
KAZ,Kazakhstan,2005-2010,45.0,91572.64
KAZ,Kazakhstan,2005-2010,50.0,89412.05
KAZ,Kazakhstan,2005-2010,55.0,86338.42
KAZ,Kazakhstan,2005-2010,60.0,81862.87
KAZ,Kazakhstan,2005-2010,65.0,75472.73
KAZ,Kazakhstan,2005-2010,70.0,66590.12
KAZ,Kazakhstan,2005-2010,75.0,54647.75
KAZ,Kazakhstan,2005-2010,80.0,38994.77
KAZ,Kazakhstan,2005-2010,85.0,21344.31
IRQ,Iraq,2005-2010,0.0,100000.0
IRQ,Iraq,2005-2010,1.0,96961.0
IRQ,Iraq,2005-2010,5.0,96493.0
IRQ,Iraq,2005-2010,10.0,96282.89
IRQ,Iraq,2005-2010,15.0,96109.19
IRQ,Iraq,2005-2010,20.0,95827.84
IRQ,Iraq,2005-2010,25.0,95431.75
IRQ,Iraq,2005-2010,30.0,94947.51
IRQ,Iraq,2005-2010,35.0,94350.74
IRQ,Iraq,2005-2010,40.0,93560.72
IRQ,Iraq,2005-2010,45.0,92445.84
IRQ,Iraq,2005-2010,50.0,90758.24
IRQ,Iraq,2005-2010,55.0,88255.75
IRQ,Iraq,2005-2010,60.0,84541.49
IRQ,Iraq,2005-2010,65.0,78899.36
IRQ,Iraq,2005-2010,70.0,70111.43
IRQ,Iraq,2005-2010,75.0,57080.0
IRQ,Iraq,2005-2010,80.0,39950.01
IRQ,Iraq,2005-2010,85.0,21483.92
PRK,"Korea, Dem. Rep.",2005-2010,0.0,100000.0
PRK,"Korea, Dem. Rep.",2005-2010,1.0,97500.31
PRK,"Korea, Dem. Rep.",2005-2010,5.0,96798.45
PRK,"Korea, Dem. Rep.",2005-2010,10.0,96400.12
PRK,"Korea, Dem. Rep.",2005-2010,15.0,96023.53
PRK,"Korea, Dem. Rep.",2005-2010,20.0,95489.83
PRK,"Korea, Dem. Rep.",2005-2010,25.0,94811.51
PRK,"Korea, Dem. Rep.",2005-2010,30.0,94031.94
PRK,"Korea, Dem. Rep.",2005-2010,35.0,93173.16
PRK,"Korea, Dem. Rep.",2005-2010,40.0,92248.31
PRK,"Korea, Dem. Rep.",2005-2010,45.0,91138.16
PRK,"Korea, Dem. Rep.",2005-2010,50.0,89654.97
PRK,"Korea, Dem. Rep.",2005-2010,55.0,87716.18
PRK,"Korea, Dem. Rep.",2005-2010,60.0,83910.88
PRK,"Korea, Dem. Rep.",2005-2010,65.0,77203.26
PRK,"Korea, Dem. Rep.",2005-2010,70.0,69021.59
PRK,"Korea, Dem. Rep.",2005-2010,75.0,57754.3
PRK,"Korea, Dem. Rep.",2005-2010,80.0,40458.19
PRK,"Korea, Dem. Rep.",2005-2010,85.0,21504.43
WBG,West Bank and Gaza,2005-2010,0.0,100000.0
WBG,West Bank and Gaza,2005-2010,1.0,97938.7
WBG,West Bank and Gaza,2005-2010,5.0,97619.0
WBG,West Bank and Gaza,2005-2010,10.0,97430.7
WBG,West Bank and Gaza,2005-2010,15.0,97277.5
WBG,West Bank and Gaza,2005-2010,20.0,97025.2
WBG,West Bank and Gaza,2005-2010,25.0,96668.9
WBG,West Bank and Gaza,2005-2010,30.0,96231.9
WBG,West Bank and Gaza,2005-2010,35.0,95691.5
WBG,West Bank and Gaza,2005-2010,40.0,94971.7
WBG,West Bank and Gaza,2005-2010,45.0,93946.4
WBG,West Bank and Gaza,2005-2010,50.0,92376.2
WBG,West Bank and Gaza,2005-2010,55.0,90032.5
WBG,West Bank and Gaza,2005-2010,60.0,86525.0
WBG,West Bank and Gaza,2005-2010,65.0,81164.2
WBG,West Bank and Gaza,2005-2010,70.0,72685.6
WBG,West Bank and Gaza,2005-2010,75.0,59903.9
WBG,West Bank and Gaza,2005-2010,80.0,42730.8
WBG,West Bank and Gaza,2005-2010,85.0,23681.2
GRD,Grenada,2005-2010,0.0,100000.0
GRD,Grenada,2005-2010,1.0,99018.83
GRD,Grenada,2005-2010,5.0,98684.37
GRD,Grenada,2005-2010,10.0,98507.47
GRD,Grenada,2005-2010,15.0,98407.47
GRD,Grenada,2005-2010,20.0,98225.82
GRD,Grenada,2005-2010,25.0,97953.68
GRD,Grenada,2005-2010,30.0,97571.79
GRD,Grenada,2005-2010,35.0,97013.74
GRD,Grenada,2005-2010,40.0,96198.32
GRD,Grenada,2005-2010,45.0,95008.18
GRD,Grenada,2005-2010,50.0,93277.2
GRD,Grenada,2005-2010,55.0,90841.16
GRD,Grenada,2005-2010,60.0,87201.45
GRD,Grenada,2005-2010,65.0,81266.76
GRD,Grenada,2005-2010,70.0,71873.83
GRD,Grenada,2005-2010,75.0,58391.27
GRD,Grenada,2005-2010,80.0,41414.31
GRD,Grenada,2005-2010,85.0,23713.46
UKR,Ukraine,2005-2010,0.0,100000.0
UKR,Ukraine,2005-2010,1.0,98904.97
UKR,Ukraine,2005-2010,5.0,98687.56
UKR,Ukraine,2005-2010,10.0,98558.95
UKR,Ukraine,2005-2010,15.0,98446.9
UKR,Ukraine,2005-2010,20.0,98237.99
UKR,Ukraine,2005-2010,25.0,97919.48
UKR,Ukraine,2005-2010,30.0,97335.25
UKR,Ukraine,2005-2010,35.0,96424.28
UKR,Ukraine,2005-2010,40.0,95215.85
UKR,Ukraine,2005-2010,45.0,93661.27
UKR,Ukraine,2005-2010,50.0,91597.22
UKR,Ukraine,2005-2010,55.0,88686.96
UKR,Ukraine,2005-2010,60.0,84411.33
UKR,Ukraine,2005-2010,65.0,78621.6
UKR,Ukraine,2005-2010,70.0,70430.17
UKR,Ukraine,2005-2010,75.0,58412.66
UKR,Ukraine,2005-2010,80.0,42523.1
UKR,Ukraine,2005-2010,85.0,24433.16
IRN,"Iran, Islamic Rep.",2005-2010,0.0,100000.0
IRN,"Iran, Islamic Rep.",2005-2010,1.0,98137.93
IRN,"Iran, Islamic Rep.",2005-2010,5.0,97381.23
IRN,"Iran, Islamic Rep.",2005-2010,10.0,97175.97
IRN,"Iran, Islamic Rep.",2005-2010,15.0,97000.24
IRN,"Iran, Islamic Rep.",2005-2010,20.0,96665.16
IRN,"Iran, Islamic Rep.",2005-2010,25.0,96220.05
IRN,"Iran, Islamic Rep.",2005-2010,30.0,95797.14
IRN,"Iran, Islamic Rep.",2005-2010,35.0,95352.21
IRN,"Iran, Islamic Rep.",2005-2010,40.0,94795.48
IRN,"Iran, Islamic Rep.",2005-2010,45.0,94055.01
IRN,"Iran, Islamic Rep.",2005-2010,50.0,92870.69
IRN,"Iran, Islamic Rep.",2005-2010,55.0,90900.44
IRN,"Iran, Islamic Rep.",2005-2010,60.0,87961.53
IRN,"Iran, Islamic Rep.",2005-2010,65.0,82933.4
IRN,"Iran, Islamic Rep.",2005-2010,70.0,74664.18
IRN,"Iran, Islamic Rep.",2005-2010,75.0,60958.84
IRN,"Iran, Islamic Rep.",2005-2010,80.0,41344.98
IRN,"Iran, Islamic Rep.",2005-2010,85.0,24678.3
BLR,Belarus,2005-2010,0.0,100000.0
BLR,Belarus,2005-2010,1.0,99471.14
BLR,Belarus,2005-2010,5.0,99310.68
BLR,Belarus,2005-2010,10.0,99226.17
BLR,Belarus,2005-2010,15.0,99144.03
BLR,Belarus,2005-2010,20.0,98980.19
BLR,Belarus,2005-2010,25.0,98712.28
BLR,Belarus,2005-2010,30.0,98292.01
BLR,Belarus,2005-2010,35.0,97695.06
BLR,Belarus,2005-2010,40.0,96866.93
BLR,Belarus,2005-2010,45.0,95740.21
BLR,Belarus,2005-2010,50.0,94053.67
BLR,Belarus,2005-2010,55.0,91490.64
BLR,Belarus,2005-2010,60.0,87418.24
BLR,Belarus,2005-2010,65.0,81615.31
BLR,Belarus,2005-2010,70.0,73009.12
BLR,Belarus,2005-2010,75.0,60304.5
BLR,Belarus,2005-2010,80.0,43395.89
BLR,Belarus,2005-2010,85.0,25080.47
RUS,Russian Federation,2005-2010,0.0,100000.0
RUS,Russian Federation,2005-2010,1.0,99073.41
RUS,Russian Federation,2005-2010,5.0,98857.22
RUS,Russian Federation,2005-2010,10.0,98722.33
RUS,Russian Federation,2005-2010,15.0,98592.6
RUS,Russian Federation,2005-2010,20.0,98290.95
RUS,Russian Federation,2005-2010,25.0,97845.18
RUS,Russian Federation,2005-2010,30.0,97124.6
RUS,Russian Federation,2005-2010,35.0,96148.13
RUS,Russian Federation,2005-2010,40.0,94902.05
RUS,Russian Federation,2005-2010,45.0,93270.01
RUS,Russian Federation,2005-2010,50.0,91065.25
RUS,Russian Federation,2005-2010,55.0,87974.1
RUS,Russian Federation,2005-2010,60.0,83551.55
RUS,Russian Federation,2005-2010,65.0,77810.1
RUS,Russian Federation,2005-2010,70.0,69914.36
RUS,Russian Federation,2005-2010,75.0,58408.49
RUS,Russian Federation,2005-2010,80.0,42807.92
RUS,Russian Federation,2005-2010,85.0,25092.71
UZB,Uzbekistan,2005-2010,0.0,100000.0
UZB,Uzbekistan,2005-2010,1.0,95942.72
UZB,Uzbekistan,2005-2010,5.0,94981.12
UZB,Uzbekistan,2005-2010,10.0,94518.27
UZB,Uzbekistan,2005-2010,15.0,94282.32
UZB,Uzbekistan,2005-2010,20.0,93980.42
UZB,Uzbekistan,2005-2010,25.0,93521.55
UZB,Uzbekistan,2005-2010,30.0,92953.33
UZB,Uzbekistan,2005-2010,35.0,92246.79
UZB,Uzbekistan,2005-2010,40.0,91302.82
